Ensembl Gene ID,Gene Symbol,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good,GBM44_poor,GBM5_good,Description
ENSG00000043591,ADRB1,16.91,4.98,9.7,0.57,0.24,4.65,0,0,0,0,1.17,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]
ENSG00000273056,RP11-77E14.2,0.86,2.43,3.06,2.19,1.92,1.65,0,0.16,2.26,0,2.95,NA
ENSG00000213026,CFL1P4,1.96,0.54,0.88,1.15,2.25,3.06,0,0.89,0.75,0,0.42,cofilin 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1880]
ENSG00000167232,ZNF91,1.56,3.99,1.62,2.01,1.8,1.78,0.49,0.37,1.33,0,2.36,zinc finger protein 91 [Source:HGNC Symbol;Acc:HGNC:13166]
ENSG00000175104,TRAF6,3.28,11.74,2.19,2.14,4.98,3.82,3.81,4.2,3.58,0.43,2.79,TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]
ENSG00000238364,RNU7-140P,3.37,6.76,5.05,2.21,4.67,1.34,0,1.05,2.91,0,1.4,"RNA, U7 small nuclear 140 pseudogene [Source:HGNC Symbol;Acc:HGNC:45674]"
ENSG00000266754,RN7SL524P,4.32,5.02,1.48,2.84,4.49,4.33,0,0.96,0.76,0,4.82,"RNA, 7SL, cytoplasmic 524, pseudogene [Source:HGNC Symbol;Acc:HGNC:46540]"
ENSG00000267001,AC006538.4,4.47,6.9,3.7,3.05,3.55,5.3,0.5,0.81,1.53,0,2.97,NA
ENSG00000147118,ZNF182,3,2.68,2.98,3.13,3.23,1.59,0,1.53,3.29,0,2.18,zinc finger protein 182 [Source:HGNC Symbol;Acc:HGNC:13001]
ENSG00000218980,FTH1P15,4.81,4.59,4.09,8.68,3.75,2.43,0,1.24,3.38,0,6.15,ferritin heavy chain 1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:3985]
ENSG00000222750,RNU4-46P,0,0.98,1.71,1.6,1.01,0.29,0,0.46,2.35,0,1.52,"RNA, U4 small nuclear 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:46982]"
ENSG00000233870,AC007881.4,30.43,33.61,36.21,63.1,29.58,35.13,0,21.73,44.14,0,30.53,NA
ENSG00000087245,MMP2,0.98,4.39,4.69,7.82,45.01,8.76,4.21,8.21,5.01,0.59,34.41,matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]
ENSG00000189046,ALKBH2,31.17,28.87,27.15,30.01,41.67,44.85,10.16,12.4,16.59,7.28,32.25,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:32487]"
ENSG00000071189,SNX13,1.76,4.7,5.84,3.7,5.53,3.43,1.03,2.22,2.66,0.63,2.79,sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]
ENSG00000176268,CYCSP34,7.53,4.22,5.98,4.07,8.98,6.46,0,1.24,2.54,0,5.52,"cytochrome c, somatic pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:24408]"
ENSG00000213683,AC002056.3,1.58,1.5,2.85,1.33,1.92,2.61,0,3.53,4.19,6.46,2.41,NA
ENSG00000132436,FIGNL1,23.03,53.1,62.38,49.61,34.77,18.94,16.79,25.35,44.61,5.54,42.3,fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]
ENSG00000252821,RNU6-388P,2.25,0.64,2.25,3.37,4,3.43,0,0.9,2.37,0,2.8,"RNA, U6 small nuclear 388, pseudogene [Source:HGNC Symbol;Acc:HGNC:47351]"
ENSG00000147894,C9orf72,2.54,3.59,9.95,11.24,6.74,3.77,1.21,2.26,1.09,1.81,3.45,chromosome 9 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:28337]
ENSG00000149231,CCDC82,14.87,12.06,7.55,9.64,12.5,18.19,3.42,10.84,6.31,2.93,3.9,coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]
ENSG00000129473,BCL2L2,18.21,21.61,11.49,20.91,18.22,21,9.38,9.34,13.6,4.58,25.31,BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]
ENSG00000160999,SH2B2,1.69,1.66,1.56,2.09,1.5,1.68,0.65,0.06,0.12,0.29,0.83,SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]
ENSG00000099814,CEP170B,11.91,7.97,7.55,11.53,3.73,16.9,0.35,0.48,3.5,5.82,5.29,centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]
ENSG00000263873,RP11-334E6.12,391.26,190.29,322.63,430.15,618.88,607.3,66.51,2.6,27.81,12.77,432.59,NA
ENSG00000239133,snoU13,3.33,0.67,0.67,8.75,7.63,1.59,0,2.5,1.73,0,3.33,NA
ENSG00000205041,CTC-425O23.2,8.07,11.58,2.94,2.95,9.6,3.84,0,0.19,2.89,0,5.86,NA
ENSG00000151748,SAV1,3.8,4.4,2.9,9.3,2.48,4.31,2.44,2.96,2.56,0.96,4.64,salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]
ENSG00000232545,KB-318B8.7,1.41,4.06,0.71,3.34,2.98,0.89,0,0.34,0.76,0,13.15,NA
ENSG00000019144,PHLDB1,34.81,22.12,15.75,43.83,43.61,19.11,3.64,2.41,5.89,4.9,41.7,pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]
ENSG00000253731,PCDHGA6,34.95,72.88,20.9,26.89,56.02,66.12,9.2,23.59,13.98,12.66,20.96,"protocadherin gamma subfamily A, 6 [Source:HGNC Symbol;Acc:HGNC:8704]"
ENSG00000212153,RNU1-82P,3.88,10.24,6.53,18.75,14.43,10.2,0,2.48,1.81,0,45.29,"RNA, U1 small nuclear 82, pseudogene [Source:HGNC Symbol;Acc:HGNC:48424]"
ENSG00000254463,RP11-484D2.3,1.4,3.38,0.07,0.83,8.17,0.58,0,0.66,1.19,0,0.87,NA
ENSG00000119917,IFIT3,0.84,6.78,2.48,2.19,0.71,3.83,2.96,8.55,11.25,0.76,1.06,interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]
ENSG00000232352,SEMA3B-AS1,2.99,2.22,4.38,14.93,6.32,3.29,0,0.65,0.17,0,2.58,SEMA3B antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:49096]
ENSG00000164190,NIPBL,2.21,3.85,3.13,4.06,4.2,2.91,6.62,1.38,1.37,5.64,2.22,"NIPBL, cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]"
ENSG00000130731,C16orf13,101.25,132.38,56.94,92.41,124.65,89.36,34.38,75.83,96.65,15.4,129.93,methyltransferase like 26 [Source:HGNC Symbol;Acc:HGNC:14141]
ENSG00000254759,NAP1L1P1,2.6,0.64,1.9,1.66,1.58,1.73,0,1.16,1.43,0,0.83,nucleosome assembly protein 1 like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38004]
ENSG00000168014,C2CD3,2.03,2.31,1.95,1.96,2.99,2.03,1.33,0.46,0.93,0.53,1.48,C2 calcium dependent domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24564]
ENSG00000073536,NLE1,14.34,18.56,22.59,16.22,21.08,15.26,6.52,2.12,5.05,0.37,13.53,notchless homolog 1 [Source:HGNC Symbol;Acc:HGNC:19889]
ENSG00000263462,MIR4750,44.5,91.73,16.24,41.04,66.26,41.48,0,16.88,48.53,0,53.98,NA
ENSG00000232615,CTD-2012J19.1,1.15,1.67,2.13,2.59,3.88,2.24,0,0.95,0.95,0,1.76,NA
ENSG00000137970,RPL7P9,195.74,201.14,153.05,340.11,202.26,188.74,44.42,300.22,148.54,26.52,248.41,ribosomal protein L7 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37028]
ENSG00000266174,MIR4666A,8.1,0.86,5.54,15.66,1.77,1.01,0,0,0,0,0.53,microRNA 4666a [Source:HGNC Symbol;Acc:HGNC:41750]
ENSG00000185904,LINC00839,7.04,0.01,16.22,0.53,3.7,0.02,0,0.68,1.57,0.75,3.62,long intergenic non-protein coding RNA 839 [Source:HGNC Symbol;Acc:HGNC:28269]
ENSG00000105866,SP4,1.62,3.89,5.21,4.03,3.73,2.67,3.57,0.54,0.96,4.45,2.23,Sp4 transcription factor [Source:HGNC Symbol;Acc:HGNC:11209]
ENSG00000104904,OAZ1,399.9,593.66,449.89,315.67,419.07,533.73,183.73,506.11,999.86,77.95,701.74,ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]
ENSG00000101166,SLMO2,49.42,47.55,62.61,47.73,70.45,41.92,19.82,30.76,47.87,15.22,60.72,PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]
ENSG00000250535,STK19P,1.43,1.57,1.37,8.28,3.11,1.47,0,0.73,2.12,0,2.03,serine/threonine kinase 19B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:21668]
ENSG00000147604,RPL7,224.96,160.45,115.17,347.76,202.83,192.95,69.14,172.4,92.46,49.36,205,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]
ENSG00000138777,PPA2,0.82,2.04,1.34,1.65,2.24,1.6,0.32,1.83,3.24,0.19,1.56,pyrophosphatase (inorganic) 2 [Source:HGNC Symbol;Acc:HGNC:28883]
ENSG00000233224,HIST1H2AM,4.77,5.97,7.33,24.41,2.73,2.88,0,1.62,4.1,0,5.17,NA
ENSG00000266918,RP11-798G7.8,6.74,6.99,2.29,18.89,5.39,6.27,4.89,2.94,4.97,0,8.37,NA
ENSG00000178952,TUFM,217.45,288.45,221.01,316.67,236.28,290.82,66.39,103.68,194.03,43.36,282.06,"Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]"
ENSG00000266993,RP4-657D16.3,11.72,16.85,20.9,20.78,16.33,12.02,6.4,10.57,22.09,0.95,20.01,NA
ENSG00000176597,B3GNT5,4.7,12.89,5.82,1.45,2.91,6.77,2.81,13.94,9.13,0.22,1.2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]"
ENSG00000111012,CYP27B1,2.75,8.02,6.12,3.18,75.53,10.8,3.32,2.63,4.23,1.49,11.15,cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]
ENSG00000255710,RP11-667M19.9,1.93,2.03,0.62,1.72,3.87,0.58,0,0.46,1.26,0,2.49,NA
ENSG00000121931,LRIF1,8.18,8.73,11.26,0.25,11.38,3.7,1.96,5.87,5.1,0.88,6.21,ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:HGNC:30299]
ENSG00000273203,AC006946.16,9.04,0,5.33,1.01,0.05,1.15,0,0,0.02,0,0.15,NA
ENSG00000146425,DYNLT1,36.89,19.95,32.05,56.45,49.33,44.02,5.35,50.05,77.78,8.39,30.19,dynein light chain Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]
ENSG00000215895,RP11-334L9.1,4.93,28.8,12.46,10.12,21.97,12.57,11.29,34.4,28.85,7.58,21.68,NA
ENSG00000272645,RP11-504P24.8,13.99,19.66,6.9,17.41,37.54,10.28,13.51,12.49,13.28,0,28.17,general transcription factor IIi pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:51732]
ENSG00000184271,POU6F1,5.96,6.26,10.66,13.44,4.2,12.02,1.08,1.65,1.65,0.48,5.01,POU class 6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9224]
ENSG00000082898,XPO1,18.93,53.92,29.42,41.59,39.55,30.43,13.28,19.56,25.37,8.39,34.7,exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]
ENSG00000215908,CROCCP2,8.39,8.16,6.16,12.93,9.42,5.47,3.56,1.18,4.44,1.69,92.32,"ciliary rootlet coiled-coil, rootletin pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28170]"
ENSG00000265891,AC017028.8,2.04,2.73,0,2.23,0.71,0.81,0,0,0.5,0,2.54,NA
ENSG00000239087,snoU13,0.67,0.67,1.67,1.31,0.69,0.79,0,3.74,4.44,0,0.83,NA
ENSG00000140939,NOL3,15.87,17.47,15.22,36.81,20.82,14.36,6.93,10.5,26.03,4.43,21.54,nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]
ENSG00000161654,LSM12,7.09,9.17,12.67,7.8,7.58,11.13,2.18,5.11,7.1,0.45,7.11,LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]
ENSG00000125319,C17orf53,2.39,1.81,2.88,2.57,3.55,2.98,1.08,1.05,1.62,0,2.19,chromosome 17 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:28460]
ENSG00000099282,TSPAN15,1.95,0.12,2.42,7.35,0.82,0.77,0.39,0.09,0.08,0.09,6.58,tetraspanin 15 [Source:HGNC Symbol;Acc:HGNC:23298]
