ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,phenotype
HALLMARK_G2M_CHECKPOINT,HALLMARK G2M CHECKPOINT,195,-0.4662926226592842,-1.6763536754306043,6.957444074880865e-6,3.162474579491302e-5,1.731038717195239e-5,3283,"tags=32%, list=24%, signal=25%",EWSR1/FBXO5/EXO1/KIF5B/KIF2C/GSPT1/HNRNPD/CUL5/NUP50/SUV39H1/KIF4A/CENPE/CUL4A/CDK1/NCL/DR1/SYNCRIP/BIRC5/SLC12A2/PRMT5/KIF20B/G3BP1/TACC3/DDX39A/KPNA2/SAP30/PLK1/MT2A/SQLE/SRSF1/DTYMK/KIF23/TRA2B/HSPA8/CUL1/CCNB2/BUB1/PML/HIF1A/HMGA1/EFNA5/CENPA/HUS1/DBF4/KATNA1/UBE2C/CDC20/MAPK14/PLK4/CDKN3/PTTG1/CCNA2/CKS1B/SNRPD1/DKC1/MAD2L1/TPX2/H2AZ1/CKS2/TOP1/AURKA/AMD1,good
HALLMARK_E2F_TARGETS,HALLMARK E2F TARGETS,197,-0.45924499131672136,-1.6537284998189223,9.056230577554913e-6,3.773429407314547e-5,2.065456096635331e-5,3738,"tags=40%, list=27%, signal=29%",SPC25/CNOT9/CTPS1/MMS22L/DIAPH3/UBR7/MYBL2/EXOSC8/HMGB3/SRSF2/RANBP1/POLD2/SPAG5/NAA38/SMC6/GINS4/RAN/KIF2C/RPA3/GSPT1/HNRNPD/TRIP13/SPC24/PAICS/SUV39H1/ORC2/RNASEH2A/DEK/KIF4A/CENPE/CDK1/NBN/ANP32E/NME1/NOP56/PPP1R8/ASF1B/POLE4/SYNCRIP/BIRC5/BRMS1L/DEPDC1/DCK/TACC3/DDX39A/KPNA2/PLK1/EIF2S1/SRSF1/TRA2B/CCNB2/PCNA/ZW10/HMGA1/DLGAP5/HUS1/SLBP/ASF1A/CDCA8/SNRPB/E2F8/CDC20/PLK4/CDKN3/MELK/PHF5A/PTTG1/CKS1B/AK2/XRCC6/MAD2L1/H2AZ1/LYAR/CKS2/CSE1L/AURKA/CDCA3/PRDX4,good
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK UNFOLDED PROTEIN RESPONSE,109,-0.5276404372140997,-1.798974454803586,3.805300383528212e-5,1.463577070587774e-4,8.011158702164658e-5,1850,"tags=34%, list=13%, signal=30%",NOP14/PREB/DDX10/XBP1/NOP56/EIF4A3/EDEM1/HERPUD1/SEC31A/PARN/EIF2S1/HSPA5/HSP90B1/WIPI1/ATF6/DNAJB9/EXOSC9/SPCS3/LSM4/NPM1/ERO1A/EXOSC10/YWHAZ/DNAJC3/SEC11A/SSR1/EIF4E/SRPRA/PDIA6/CALR/CKS1B/DKC1/PDIA5/POP4/SRPRB/BAG3/IFIT1,good
HALLMARK_ADIPOGENESIS,HALLMARK ADIPOGENESIS,180,-0.42866470759000513,-1.531141274199007,2.1861474521869603e-4,7.807669472096287e-4,4.273671711042178e-4,2922,"tags=38%, list=21%, signal=30%",NDUFS3/NDUFA5/PREB/PPM1B/LIFR/UBQLN1/RETSAT/SLC1A5/GHITM/STOM/IFNGR1/PRDX3/DLD/SDHC/SUCLG1/MTCH2/ATL2/DRAM2/RAB34/SAMM50/CAVIN1/TALDO1/PPP1R15B/SPARCL1/ESYT1/DNAJB9/MDH2/SLC66A3/DLAT/RIOK3/ECHS1/MGST3/HADH/BCL2L13/G3BP2/SOD1/APLP2/UQCR10/NDUFB7/GBE1/IMMT/TANK/NDUFAB1/REEP5/UQCRQ/GPX4/ANGPTL4/DECR1/ATP1B3/ARAF/GRPEL1/UQCR11/AIFM1/MRPL15/UBC/AK2/TOB1/MYLK/FAH/IDH3G/CMPK1/ECH1/ACAA2/COX7B/SDHB/ELOVL6/ALDOA/SQOR,good
HALLMARK_DNA_REPAIR,HALLMARK DNA REPAIR,145,-0.4570637603698351,-1.6066744815344323,3.305758987520394e-4,0.0011019196625067982,6.031560257931948e-4,2782,"tags=36%, list=20%, signal=29%",POLR2H/POLR2C/POLR2J/CMPK2/GTF2H5/NME1/APRT/NELFCD/POLR3C/TSG101/POLE4/TAF12/POLR1D/ERCC1/TYMS/MPG/POLR1C/DCTN4/TAF13/DGUOK/NFX1/NUDT9/POLD4/NT5C3A/POLR2D/GTF2B/STX3/ITPA/NELFE/SF3A3/PCNA/AK3/MRPL40/ELOA/GTF2A2/CLP1/TAF9/GMPR2/TMED2/RAE1/EDF1/CETN2/RBX1/GPX4/GTF2H1/ADRM1/PNP/HPRT1/BCAP31/POLR2I/DAD1/GUK1,good
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK TNFA SIGNALING VIA NFKB,163,-0.4402469062538958,-1.5629853696954155,4.516295542119348e-4,0.0014113423569122963,7.725242374677833e-4,2008,"tags=23%, list=15%, signal=20%",HBEGF/KLF6/TNIP1/NFKB2/CSF1/NFAT5/SERPINB8/BTG2/LAMB3/TLR2/G0S2/BIRC3/IFIT2/SAT1/MAP2K3/IRF1/B4GALT5/ICAM1/CFLAR/DDX58/PHLDA2/TANK/TRIP10/LDLR/CLCF1/PTGER4/NAMPT/GEM/SOD2/SQSTM1/B4GALT1/PLAU/CD44/NFKB1/FOSL1/PLAUR/NFKBIA/TNFAIP2,good
HALLMARK_ANDROGEN_RESPONSE,HALLMARK ANDROGEN RESPONSE,92,-0.49415650329605665,-1.6071939512658988,7.35952062353706e-4,0.0021645648892756057,0.0011848144657087528,1321,"tags=39%, list=10%, signal=36%",VAPA/AKT1/MERTK/UBE2I/INSIG1/CENPN/IDI1/LIFR/GSR/PDLIM5/SMS/PGM3/SRP19/MYL12A/DNAJB9/SPCS3/SAT1/SLC38A2/HERC3/UAP1/ELOVL5/LMAN1/SEC24D/DBI/ACTN1/TMPRSS2/HOMER2/XRCC6/NDRG1/HSD17B14/ADRM1/GNAI3/B4GALT1/UBE2J1/B2M/KRT8,good
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK INFLAMMATORY RESPONSE,112,-0.46158873834478203,-1.5759251563986478,9.923991491093214e-4,0.002756664303081448,0.0015089109869498454,2008,"tags=34%, list=15%, signal=29%",HBEGF/PCDH7/KLF6/ADORA2B/CSF1/RTP4/BTG2/TPBG/TIMP1/TLR1/TLR2/SGMS2/HIF1A/OSMR/AXL/IRF1/IRAK2/SELENOS/ICAM1/EIF2AK2/LDLR/TNFRSF1B/EMP3/IL15/IL1R1/RHOG/NMI/PTGER4/NAMPT/DCBLD2/ADRM1/GNAI3/NFKB1/SLC31A2/ADM/PLAUR/IFITM1/NFKBIA,good
HALLMARK_APOPTOSIS,HALLMARK APOPTOSIS,133,-0.43510294227233925,-1.5093358988927688,0.0016265998955838164,0.004280526041010043,0.0023430247803423393,2050,"tags=32%, list=15%, signal=27%",CASP4/BID/GSN/EMP1/PPP3R1/BTG2/BCL2L2/CASP6/TIMP1/CASP8/HSPB1/PMAIP1/VDAC2/BIRC3/CASP7/SAT1/IRF1/SOD1/DNAJA1/DNAJC3/TSPO/CFLAR/ANXA1/HMOX1/GPX4/IFITM3/ETF1/IGFBP6/BCL10/FAS/LGALS3/EBP/DAP3/CAV1/KRT18/SOD2/SQSTM1/CD44/ISG20/BCAP31/BCL2L1/LMNA,good
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK CHOLESTEROL HOMEOSTASIS,67,-0.511856043522112,-1.601999340585332,0.0019227827067673025,0.004806956766918257,0.002631176335576309,2927,"tags=42%, list=21%, signal=33%",PCYT2/SC5D/IDI1/MVK/CLU/ETHE1/NIBAN1/LGMN/S100A11/GUSB/CYP51A1/SQLE/HSD17B7/FDFT1/PLSCR1/ANTXR2/ACAT2/ACSS2/LDLR/PDK3/STARD4/FDPS/CD9/LGALS3/ECH1/EBP/NSDHL/PLAUR,good
HALLMARK_P53_PATHWAY,HALLMARK P53 PATHWAY,177,-0.39052046701840826,-1.3853147276178686,0.00469506536347697,0.011178727055897546,0.006118882177964974,2028,"tags=21%, list=15%, signal=19%",PTPN14/HBEGF/EI24/HSPA4L/BTG2/SLC35D1/PMM1/RPS12/FAM162A/CGRRF1/PCNA/NUDT15/SAT1/RACK1/SDC1/RCHY1/DNTTIP2/EPHX1/UPP1/OSGIN1/HMOX1/RPL18/TCN2/RPL36/SERTAD3/TOB1/PERP/TAX1BP3/NDRG1/FAS/HINT1/PROCR/STEAP3/IFI30/CCNG1/S100A10/S100A4/TPD52L1,good
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK IL2 STAT5 SIGNALING,151,-0.3872640529438956,-1.3791634326164521,0.00631625196896163,0.014355118111276433,0.007857538334593416,2737,"tags=30%, list=20%, signal=25%",XBP1/SLC1A5/ADAM19/PRNP/ITGAE/IFNGR1/CASP3/PHTF2/IGF2R/TTC39B/BHLHE40/SERPINB6/SWAP70/AHNAK/RABGAP1L/EMP1/KLF6/CKAP4/SNX14/MYO1E/CSF1/PTRH2/ECM1/PLSCR1/SPP1/ITGA6/DHRS3/DCPS/NCOA3/P4HA1/ANXA4/GPX4/TNFRSF1B/IFITM3/CDC42SE2/CAPG/TWSG1/GSTO1/NDRG1/FAH/SNX9/PNP/CD44/BCL2L1/SMPDL3A/GBP4,good
HALLMARK_GLYCOLYSIS,HALLMARK GLYCOLYSIS,181,-0.3327246625962468,-1.1879071363022815,0.022900035264262573,0.04978268535709255,0.027249469879671712,2179,"tags=35%, list=16%, signal=30%",GUSB/ME2/DEPDC1/PAM/EXT2/MIF/TALDO1/PGAM1/NDST3/GYS1/ADORA2B/RPE/SAP30/PYGB/NANP/HSPA5/GOT2/TPBG/SLC25A13/CASP6/PGM2/POLR3K/MDH2/G6PD/AK4/GLRX/FAM162A/ERO1A/STC1/AK3/SPAG4/CENPA/SOD1/SDC1/PMM2/EGLN3/GMPPA/PYGL/PPIA/ENO1/P4HA1/PLOD1/ANG/CYB5A/ANGPTL4/MDH1/GNPDA1/PKM/PDK3/RARS1/PSMC4/NSDHL/P4HA2/TPI1/B4GALT1/CD44/ISG20/TXN/AURKA/SLC16A3/LDHA/ALDOA/PGK1,good
HALLMARK_PEROXISOME,HALLMARK PEROXISOME,89,-0.3782105327910173,-1.2257928061959833,0.03672415305536036,0.07650865219866741,0.041878420150849534,1687,"tags=27%, list=12%, signal=24%",HSD17B11/SLC25A17/CDK7/IDE/ACSL1/ACOT8/SOD1/VPS4B/DHRS3/PEX13/YWHAH/PRDX1/TSPO/ELOVL5/FDPS/ESR2/BCL10/ITGB1BP1/ECH1/SOD2/ACSL4/ABCB9/ECI2/MVP,none
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK ALLOGRAFT REJECTION,103,-0.36497974596326954,-1.2070348259016053,0.051583061445513424,0.10316612289102685,0.05646987779298311,2642,"tags=40%, list=19%, signal=32%",NME1/IFNGR1/GCNT1/JAK2/HLA-A/MRPL3/MAP3K7/IL7/ELF4/EIF3D/STAT1/DEGS1/MTIF2/LY75/ST8SIA4/DARS1/CSF1/GLMN/EIF3J/HDAC9/TIMP1/RPS19/TLR1/TLR2/HIF1A/NPM1/ICAM1/RPS3A/RPL39/PSMB10/IL15/CAPG/RARS1/BCL10/ABCE1/CTSS/FAS/TLR6/RPL9/B2M/GBP2,none
HALLMARK_HYPOXIA,HALLMARK HYPOXIA,176,-0.33019544122725725,-1.1737838822610458,0.05846706267874892,0.11243665899759407,0.06154427650394624,2202,"tags=30%, list=16%, signal=25%",JMJD6/ZFP36/BHLHE40/PAM/MIF/CAVIN1/KLF6/GYS1/ADORA2B/PDK1/SAP30/HEXA/HSPA5/MT2A/TPBG/CASP6/PGM2/GPI/GRHPR/GCNT2/AK4/GLRX/FAM162A/ERO1A/STC1/NOCT/HMOX1/ENO1/GBE1/P4HA1/AMPD3/GAPDH/ANGPTL4/PDK3/CA12/SRPX/NDRG1/CAVIN3/ANXA2/HK1/P4HA2/TPI1/CAV1/ISG20/ADM/LDHA/CSRP2/ALDOA/SLC2A1/PLAUR/S100A4/PGK1,none
HALLMARK_COMPLEMENT,HALLMARK COMPLEMENT,144,-0.326922385600603,-1.1559374637793385,0.10055835793312641,0.1862191813576415,0.10193049926944588,1609,"tags=22%, list=12%, signal=19%",TIMP1/CTSL/USP15/RNF4/SH2B3/USP14/ADAM9/CASP7/RABIF/PLSCR1/IRF1/CALM1/LAP3/DPP4/LIPA/ANG/CSRP1/CD46/PDP1/CASP10/ATOX1/MSRB1/S100A13/RHOG/CTSS/LGALS3/L3MBTL4/GNAI3/LAMP2/PLAUR/PFN1,none
HALLMARK_APICAL_SURFACE,HALLMARK APICAL SURFACE,31,-0.5043031809418751,-1.3392834668263491,0.11313868613138686,0.20203336809176226,0.11058668569233303,702,"tags=32%, list=5%, signal=31%",HSPB1/EFNA5/ADAM10/SHROOM2/SRPX/ATP8B1/DCBLD2/B4GALT1/CRYBG1/PLAUR,none
HALLMARK_MYOGENESIS,HALLMARK MYOGENESIS,148,0.4917705820028664,1.247388764706595,0.12059765208110992,0.20792698634674123,0.11381266621084785,1895,"tags=26%, list=14%, signal=23%",SGCA/ERBB3/APOD/NCAM1/MYH7/RYR1/CACNA1H/TCAP/ACTN2/FXYD1/GNAO1/REEP1/SGCD/ACTC1/VIPR1/ACHE/PPFIA4/DMPK/TPM2/EPHB3/GAA/MYH3/SH2B1/AEBP1/SH3BGR/GPX3/MYOM2/MYOZ1/TSC2/KCNH2/MRAS/FOXO4/CAMK2B/KIFC3/LDB3/ATP2A1/BIN1/ITGA7/PICK1,none
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK ESTROGEN RESPONSE LATE,154,-0.31824796849430814,-1.131969417580775,0.1261395367445945,0.20958629487880442,0.11472091930208245,2260,"tags=25%, list=16%, signal=21%",DNAJC1/ZFP36/SLC9A3R1/ATP2B4/TFAP2C/JAK1/TFPI2/PLAAT3/NXT1/HSPA4L/TPBG/OPN3/PKP3/PRSS23/CHPT1/FDFT1/RPS6KA2/ACOX2/IMPA2/BLVRB/CDC20/ELOVL5/PLK4/COX6C/CA12/HOMER2/DYNLT3/TOB1/CD9/PERP/CAV1/GLA/CD44/ISG20/HPRT1/MYOF/GPER1/TPD52L1,none
HALLMARK_MYC_TARGETS_V2,HALLMARK MYC TARGETS V2,57,-0.41456998650176546,-1.2453593690133749,0.12994350282485875,0.20958629487880442,0.11472091930208245,1896,"tags=23%, list=14%, signal=20%",IMP4/PLK1/NIP7/RABEPK/AIMP2/NPM1/WDR43/NDUFAF4/HSPD1/PLK4/NOP16/TFB2M/HSPE1,none
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK WNT BETA CATENIN SIGNALING,38,0.5916157150720183,1.3089491686154682,0.13892529488859764,0.21707077326343382,0.11881768641787957,3221,"tags=45%, list=23%, signal=34%",NKD1/KAT2A/JAG2/WNT6/FRAT1/DVL2/DLL1/AXIN2/PTCH1/LEF1/WNT1/TP53/HEY2/HDAC5/AXIN1/GNAI1/NCOR2,none
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK IL6 JAK STAT3 SIGNALING,57,-0.40825210416257635,-1.2263805856484102,0.14689265536723164,0.22256462934429036,0.12182484974634841,2861,"tags=42%, list=21%, signal=33%",HAX1/IL13RA1/CXCL10/IRF9/IFNGR1/CXCL11/IL7/MYD88/STAT1/BAK1/CSF1/PTPN2/TLR2/PDGFC/LEPR/OSMR/IRF1/PTPN1/HMOX1/TNFRSF1B/IL1R1/CD9/FAS/CD44,none
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK PANCREAS BETA CELLS,23,0.6327093185931807,1.2910982006076652,0.16428571428571428,0.24159663865546221,0.1322423706324635,1295,"tags=30%, list=9%, signal=28%",ABCC8/SYT13/PDX1/DCX/NKX2-2/INSM1/GCK,none
HALLMARK_NOTCH_SIGNALING,HALLMARK NOTCH SIGNALING,31,0.5919712263487515,1.2655484925494662,0.1717032967032967,0.24529042386185243,0.13426423200859294,1590,"tags=16%, list=12%, signal=14%",DTX1/KAT2A/ARRB1/HEYL/DLL1,none
HALLMARK_SPERMATOGENESIS,HALLMARK SPERMATOGENESIS,87,0.47450230244590974,1.1614750087191579,0.2425287356321839,0.33684546615581096,0.1843785709484439,1931,"tags=20%, list=14%, signal=17%",SCG3/DDX25/YBX2/SCG5/PCSK1N/ADCYAP1/PCSK4/GRM8/TEKT2/GAD1/SNAP91/CHRM4/PGS1/ACRBP/CNIH2/BRAF/ACRV1,none
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK HEDGEHOG SIGNALING,33,0.5063641762611565,1.094608027065636,0.3564625850340136,0.4817061959919103,0.26367075991136146,1442,"tags=18%, list=10%, signal=16%",CRMP1/AMOT/TLE3/ACHE/CDK5R1/L1CAM,none
HALLMARK_ANGIOGENESIS,HALLMARK ANGIOGENESIS,23,-0.4297834833622053,-1.073529391591008,0.3708609271523179,0.4879749041477867,0.26710205279668325,1705,"tags=26%, list=12%, signal=23%",COL5A2/TIMP1/STC1/SPP1/LRPAP1/S100A4,none
HALLMARK_KRAS_SIGNALING_UP,HALLMARK KRAS SIGNALING UP,146,0.4175683866304212,1.058387639593192,0.3831376734258271,0.4912021454177271,0.26886854275496636,1479,"tags=12%, list=11%, signal=11%",SCG3/SPON1/APOD/TSPAN7/GADD45G/SCG5/SATB1/PCSK1N/TRAF1/MAP4K1/TSPAN13/ST6GAL1/SERPINA3/FGF9/MPZL2/SNAP91/ADAM8/CBX8,none
